Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
9234 052 007 100 078 034
9134 090 036 090 077 030
9124 100 045 020 090 070
9532 011 017 081 032 077
9678 020 012 045 078 034
9134 034 080 055 078 045
9874 060 100 056 078 078
9026 070 010 066 078 056
1893 034 009 077 078 020
9947 045 040 088 078 055
9877 055 050 099 078 080
9189 022 070 100 078 077
9602 089 050 091 078 060
9405 011 011 000 078 010
9999 000 098 089 078 020
8234 052 007 100 078 034
8134 090 036 090 077 030
8124 100 045 020 090 070
8532 011 017 081 032 077
8678 020 012 045 078 034
8134 034 080 055 078 045
8874 060 100 056 078 078
7026 070 010 066 078 056
8893 034 009 077 078 020
8947 045 040 088 078 055
8877 055 050 099 078 080
8189 022 070 100 078 077
8602 089 050 091 078 060
8405 011 011 000 078 010
8999 000 098 089 078 020
